DF/ADF,FID,NAME,ABBR,DOC,PAGE,POS
CDMA,6F48,ME 3GPD Operation Capability,ME3GPDOPC,C.S0023-C,92,1
CDMA,6F49,3GPD Operation Mode,3GPDOPM,C.S0023-C,94,1
CDMA,6F4A,SimpleIP Capability Parameters,SIPCAP,C.S0023-C,95,1
CDMA,6F4B,MobileIP Capability Parameters,MIPCAP,C.S0023-C,96,1
CDMA,6F4C,SimpleIP User Profile Parameters,SIPUPP,C.S0023-C,97,1
CDMA,6F4D,MobileIP User Profile Parameters,MIPUPP,C.S0023-C,98,1
CDMA,6F4E,SimpleIP Status Parameters,SIPSP,C.S0023-C,99,1
CDMA,6F4F,MobileIP Status Parameters,MIPSP,C.S0023-C,100,1
CDMA,6F50,SimpleIP PAP SS Parameters,SIPPAPSS,C.S0023-C,101,1
CDMA,6F51,Reserved,,C.S0023-C,,1
CDMA,6F52,Reserved,,C.S0023-C,,1
CDMA,6F53,Preferred User Zone List,PUZL,C.S0023-C,104,1
CDMA,6F54,Maximum PUZL,MAXPUZL,C.S0023-C,105,1
CDMA,6F55,ME-specific Configuration Request Parameters,MECRP,C.S0023-C,106,1
CDMA,6F56,HRPD Access Authentication Capability Parameters,RPDCAP,C.S0023-C,107,1
CDMA,6F57,HRPD Access Authentication User Profile Parameters,HRPDUPP,C.S0023-C,108,1
CDMA,6F58,CUR_SSPR_P_REV,CSSPR 1,C.S0023-C,109,1
CDMA,6F59,Access Terminal Class,ATC,C.S0023-C,110,1
CDMA,6F5A,Extended Preferred Roaming List,EPRL,C.S0023-C,111,1
CDMA,6F5B,Broadcast Short Message Configuration,BCSMScfg,C.S0023-C,112,1
CDMA,6F5C,Broadcast Short Message Preference,BCSMSpref,C.S0023-C,113,1
CDMA,6F5D,Broadcast Short Message Table,BCSMStable,C.S0023-C,115,1
CDMA,6F5E,Broadcast Short Message Parameter,BCSMSP,C.S0023-C,117,1
CDMA,6F5F,IMS private user identity,IMPI,C.S0023-C,118,1
CDMA,6F60,Home Network Domain Name,DOMAIN,C.S0023-C,119,1
CDMA,6F61,IMS public user identity,IMPU,C.S0023-C,120,1
CDMA,6F62,Proxy Call Session Control Function,PCSCF,C.S0023-C,121,1
CDMA,6F63,Currently used BAK Parameters,BAKPARA,C.S0023-C,123,1
CDMA,6F64,Updated BAK Parameters,UpBAKPARA,C.S0023-C,125,1
CDMA,6F65,MMS Notification,MMSN,C.S0023-C,127,1
CDMA,6F66,Extension 8,EXT8,C.S0023-C,129,1
CDMA,6F67,MMS Issuer Connectivity Parameters,MMSICP,C.S0023-C,130,1
CDMA,6F68,MMS User Preferences,MMSUP,C.S0023-C,133,1
CDMA,6F69,MMS User Connectivity Parameters,MMSUCP,C.S0023-C,135,1
CDMA,6F6A,Authentication Capability,AuthCapability,C.S0023-C,136,1
CDMA,6F6B,3G Cipher and Integrity Keys,3GCIK,C.S0023-C,137,1
CDMA,6F6C,De-Personalization Control Keys,DCK,C.S0023-C,138,1
CDMA,6F6D,Group Identifier Level 1,GID1,C.S0023-C,139,1
CDMA,6F6E,Group Identifier Level 2,GID2,C.S0023-C,140,1
CDMA,6F6F,CDMA Co-operative Network List,CDMACNL,C.S0023-C,141,1
CDMA,6F70,Home System Tag,HOME_TAG,C.S0023-C,143,1
CDMA,6F71,Group Tag List,GROUP_TAG,C.S0023-C,144,1
CDMA,6F72,Specific Tag List,SPECIFIC_TAG,C.S0023-C,145,1
CDMA,6F73,Call Prompt List,CALL_PROMPT,C.S0023-C,146,1
CDMA,6F74,Short Form EUIMID,SF_EUIMID,C.S0023-C,147,1
MF,1F3E,,ICCRP,CMCC_GD,4,3
MF,2F02,ICC Serial Number,ICCSN,CMCC,28,3
MF,"""0101""",CMCC_M2M_SIMBINDME,,,,
CMCC_M2M_SIMBINDME,FE01,一对多白名单绑定存储文件,,CMCC_M2M_SIMBINDME,16,2
CMCC_M3M_SIMBINDME,FE02,存储IMEI和Terminal Profile文件,,CMCC_M3M_SIMBINDME,15,3
CMCC_M3M_SIMBINDME,FE03,绑定类型文件,,CMCC_M4M_SIMBINDME,16,4
