C,,,,,,
460,6,中国联通（China Unicom） ,中国联通（China Unicom） ,营运中 ,,
460,7,中国移动（China Mobile） ,中国移动（China Mobile） ,营运中 ,,
460,9,中国联通（China Unicom） ,中国联通（China Unicom） ,营运中 ,,
460,11,中国电信（China Telecom） ,中国电信（China Telecom） ,营运中 ,,
460,20,中国铁通（China Tietong） ,中国铁通（China Tietong） ,营运中 ,,
,,,,,,
哥伦比亚 - CO,,,,,,
,,,,,,
MCC ,MNC ,品牌 ,运营商 ,状态 ,,
732,1,,Colombia Telecomunicaciones S.A. ,营运中 ,,
732,2,Edatel ,Edatel S.A. ,营运中 ,,
732,101,Comcel ,Comcel Colombia ,营运中 ,,
732,102,movistar ,Bellsouth Colombia ,营运中 ,,
732,103,Tigo ,Colombia Móvil ,营运中 ,,
732,111,Tigo ,Colombia Móvil ,营运中 ,,
732,123,movistar ,Telefónica Móviles Colombia ,营运中 ,,
,,,,,,
哥斯达黎加 - CR,,,,,,
,,,,,,
MCC ,MNC ,品牌 ,运营商 ,状态 ,,
712,1,Kolbi ICE ,Instituto Costarricense de Electricidad ,营运中 ,,
712,2,Kolbi ICE ,Instituto Costarricense de Electricidad ,营运中 ,,
712,3,Claro ,Claro CR Telecomunicaciones ,营运中 ,,
712,4,movistar ,Telefonica Móviles Costa Rica ,营运中 ,,
,,,,,,
古巴 - CU,,,,,,
,,,,,,
MCC,MNC,品牌,运营商,状态,,
368,1,CUBACEL,"Empresa de Telecomunicaciones de Cuba, SA",营运中,,
,,,,,,
佛得角 - CV,,,,,,
,,,,,,
MCC,MNC,品牌,运营商,状态,,
625,2,T+,T+,营运中,,
,,,,,,
库拉索 (荷兰王国) - CW,,,,,,
,,,,,,
MCC ,MNC ,品牌 ,运营商 ,状态 ,,
362,51,Telcell ,Telcell N.V. ,营运中 ,,
362,69,Digicel ,Cura?ao Telecom N.V. ,营运中 ,,
362,91,UTS ,Setel N.V. ,营运中 ,,
362,94,Bayòs ,Bòbò Frus N.V. ,营运中 ,,
362,95,MIO ,E.O.C.G. Wireless ,营运中 ,,
,,,,,,
塞浦路斯 - CY,,,,,,
,,,,,,
MCC ,MNC ,品牌 ,运营商 ,状态 ,,
280,1,Cytamobile-Vodafone ,Cyprus Telecommunications Auth ,营运中 ,,
280,10,MTN ,Areeba Ltd ,营运中 ,,
,,,,,,
捷克 - CZ,,,,,,
,,,,,,
MCC ,MNC ,品牌 ,运营商 ,状态 ,,
230,1,T-Mobile ,T-Mobile Czech Republic ,营运中 ,,
230,3,Vodafone ,Vodafone Czech Republic ,营运中 ,,
230,4,U:fon ,"MobilKom, a. s. ",营运中 ,,
230,5,,"TRAVEL TELEKOMMUNIKATION, s.r.o. ",不明 ,,
230,6,,"OSNO TELECOMUNICATION, s.r.o. ",不明 ,,
230,98,,"Správa ?elezni?ní dopravní cesty, s.o. ",营运中 ,,
230,99,Vodafone ,Vodafone Czech Republic ,营运中 ,,
D,,,,,,
德国 - DE,,,,,,
MCC ,MNC ,品牌 ,运营商 ,状态 ,,
262,1,T-Mobile ,T-Mobile Deutschland GmbH ,营运中 ,,
262,2,Vodafone ,Vodafone D2 GmbH ,营运中 ,,
262,3,E-Plus ,E-Plus Mobilfunk ,营运中 ,,
262,4,Vodafone ,,计划/保留 ,,
262,5,E-Plus ,E-Plus Mobilfunk ,计划/保留 ,,
262,6,T-Mobile ,,计划/保留 ,,
262,9,Vodafone ,,计划/保留 ,,
262,10,,Arcor AG & Co ,营运中 ,,
262,12,,Dolphin Telecom ,非营运中 ,,
262,13,,Mobilcom Multimedia ,非营运中 ,,
262,14,,Group 3G UMTS ,非营运中 ,,
262,15,Airdata ,,营运中 ,,
262,16,Vistream ,,不明 ,,
262,42,27C3 ,Chaos Computer Club ,非营运中 ,,
262,43,LYCA ,Lycamobile ,营运中 ,,
262,60,,DB Telematik ,营运中 ,,
262,76,,Siemens AG ,营运中 ,,
262,77,E-Plus ,,营运中 ,,
262,901,Debitel ,,营运中 ,,
262,92,Nash Technologies ,,营运中 ,,
,,,,,,
吉布提 - DJ,,,,,,
,,,,,,
MCC,MNC,品牌,运营商,状态,,
638,1,Evatis,Djibouti Telecom SA,营运中,,
,,,,,,
丹麦 - DK,,,,,,
,,,,,,
MCC ,MNC ,品牌 ,运营商 ,状态 ,,
238,1,TDC ,TDC A/S ,营运中 ,,
238,2,Telenor ,Telenor Denmark ,营运中 ,,
238,3,,MIGway A/S ,计划/保留 ,,
238,5,,ApS KBUS ,计划/保留 ,,
238,6,3,Hi3G Denmark ApS ,营运中 ,,
238,7,,Barablu Mobile Ltd. ,计划/保留 ,,
238,9,,Dansk Beredskabskommunikation A/S ,不明 ,,
238,10,TDC ,TDC A/S ,营运中 ,,
238,11,,Dansk Beredskabskommunikation A/S ,不明 ,,
238,12,,Lycamobile Denmark Ltd ,不明 ,,
238,20,Telia ,,营运中 ,,
238,30,Telia ,Telia N?ttj?nster Norden AB ,营运中 ,,
238,40,,Ericsson Danmark A/S ,不明 ,,
238,77,Telenor ,Telenor Denmark ,营运中 ,,
,,,,,,
多米尼克 - DM,,,,,,
,,,,,,
MCC ,MNC ,品牌 ,运营商 ,状态 ,,
366,20,Digicel ,Digicel Group Limited ,营运中 ,,
366,110,,Cable & Wireless ,营运中 ,,
,,,,,,
多米尼加共和国 - DO,,,,,,
,,,,,,
MCC ,MNC ,品牌 ,运营商 ,状态 ,,
370,1,Orange ,Orange Dominicana ,营运中 ,,
370,2,Claro ,"Compa?ía Dominicana de Teléfonos, C por ",营运中 ,,
370,3,Tricom ,Tricom S.A. ,营运中 ,,
370,4,Viva ,"Trilogy Dominicana, S.A. ",营运中 ,,
,,,,,,
阿尔及利亚 - DZ,,,,,,
,,,,,,
MCC ,MNC ,品牌 ,运营商 ,状态 ,,
603,1,Mobilis ,ATM Mobilis ,营运中 ,,
603,2,Djezzy ,Orascom Telecom Algerie Spa ,营运中 ,,
603,3,Nedjma ,Wataniya Telecom Algerie ,营运中 ,,
